id,toxic,severe_toxic,obscene,threat,insult,identity_hate
polashel,0.1818230513025225,0.009437453560834298,0.08812217199284327,0.003382685887687561,0.06347693160561821,0.009956910659000052
tyrannosaurus_fl3x,0.055802892983691,0.0069939940508774966,0.03172956954239235,0.003109045519622294,0.0290730587514823,0.008201829906471971
CapAm91,0.41977553253890154,0.01295441190619764,0.13326248307303273,0.0037853180887897544,0.18251057977536156,0.014945217140580648
Anonymous_Ascendent,0.06731424185800773,0.007700688969805637,0.03692290080410055,0.0035107470558636907,0.028415450281403788,0.008790232312980074
 ,0.08648873722224107,0.010713615931471679,0.043517273724348875,0.0038497587749779477,0.04112108180744692,0.010162862007850082
youtubefactsbot,0.05800079609793063,0.008069600591963677,0.031724729595268196,0.003288751387025281,0.0297668212685903,0.008689725099666241
PM-ME-YOUR-DOGPICS,0.15410831523866866,0.007331874721139432,0.05464559223418944,0.0033542478661608343,0.06417859713414713,0.010220913882473846
SocialNationalism,0.09391823411280958,0.008812221963738289,0.044655526528836746,0.0034422473105236912,0.04436410244933754,0.009362052155224813
 ,0.11557440905429768,0.008682993405521854,0.04630438556640036,0.0035686849472596695,0.040291498478138565,0.010082950653641162
bailbondshhman,0.5347046976348894,0.03940183598375579,0.3218487265209428,0.005963557724561571,0.33156556299400863,0.034841728871698424
dumpster_high_dive,0.060163725759946114,0.006373952358176092,0.025575206934543186,0.003353645585277516,0.027565891434423586,0.00860978117935827
 ,0.05155150422577708,0.008129666244560546,0.033506959128924735,0.0033531120110518627,0.028653637555474468,0.008030926057001396
 ,0.05155150422577708,0.008129666244560546,0.033506959128924735,0.0033531120110518627,0.028653637555474468,0.008030926057001396
 ,0.05155150422577708,0.008129666244560546,0.033506959128924735,0.0033531120110518627,0.028653637555474468,0.008030926057001396
grandpagangbang,0.09789750599325321,0.008459845724074579,0.04365606853449554,0.003557884570474168,0.04540294291855774,0.009405378093390674
wm07,0.9271751642000783,0.07800434434612427,0.7044535319119728,0.010175043190896751,0.5379032272531433,0.0381290483103756
randyjohnsonsjohnson,0.49532912492521625,0.022841455160933062,0.2844505260049875,0.004788280131550023,0.16839540383730076,0.021582227751713954
_craiggles_,0.18772634916325023,0.016474032279596266,0.10010012598805429,0.004240605595113862,0.09486643385104553,0.013108046643764627
AlleM43,0.07923744371164623,0.008286950018288747,0.03424331269875918,0.0032436181521799706,0.035646519481490835,0.00880641523683532
winlifeat,0.10556886366591255,0.00872373391543392,0.042472364811026286,0.0033596395487483057,0.042644673047515805,0.010064668700946635
Yellow-5-Son,0.15609853950052874,0.007043505301551283,0.04044887359829015,0.003302264940697435,0.047782653244302545,0.010175056204208149
SocialNationalism,0.11310331444703431,0.008516569895986488,0.05385305600495363,0.0033213728768774755,0.05517521103020256,0.010448374442932609
Yellow-5-Son,0.19017377044847725,0.008981627505576342,0.05190710866987566,0.003869487914283778,0.06143998698480132,0.011855253220698088
Quaddro21,0.1084670429117634,0.00991619741124536,0.04437700877070202,0.003633134968452601,0.04546036099090892,0.010463194563664683
JumbledFun,0.7805311524179579,0.030797003612937603,0.5220659146414686,0.005392199407245913,0.34239795194855704,0.018517297316539845
 ,0.05155150422577708,0.008129666244560546,0.033506959128924735,0.0033531120110518627,0.028653637555474468,0.008030926057001396
JumbledFun,0.9439765972362694,0.1251262721012289,0.8996858711409265,0.006916147116050608,0.6862375592118806,0.03112814141268062
Duffalpha,0.13210100016066195,0.008771238842252189,0.039457546458041046,0.003532743505726069,0.05344353487427069,0.010587622404173751
Yellow-5-Son,0.5661425254578827,0.01877723650280271,0.25003313411622596,0.004517730428380061,0.17926075142316483,0.018132477704605708
JumbledFun,0.10110400233103022,0.007930296817084858,0.04058594825564127,0.0033542476088429646,0.042252773737681805,0.009560729531784783
 ,0.05155150422577708,0.008129666244560546,0.033506959128924735,0.0033531120110518627,0.028653637555474468,0.008030926057001396
JumbledFun,0.09412758461868802,0.0077549981107046554,0.03673262562736121,0.003275295229927809,0.038091761047051274,0.009650443322559718
Kingca,0.5819827834428203,0.029689396587911178,0.3722617471720755,0.00415392803264776,0.24363405554464498,0.020324499763224937
Yellow-5-Son,0.0785243471164958,0.007226407720767014,0.035741857641053476,0.0033319861344217336,0.041796654225774096,0.014592990233913925
AS14K,0.24522290188317247,0.012538926277657063,0.10431274378807649,0.00399210342230885,0.0819911124569335,0.012625436301417613
Yellow-5-Son,0.10632746542829132,0.008890498302601166,0.0448801629406022,0.0035678297085421297,0.04456165976841736,0.014333859223152908
AS14K,0.2093961935795755,0.011454128486944982,0.10178634955882984,0.003921616578892648,0.08542523291975836,0.014609920772853344
Yellow-5-Son,0.0650550960709841,0.0047957459927009905,0.028882799964823895,0.0030202932502743887,0.02676750109957149,0.006670143209889273
AS14K,0.6978913888463962,0.02505097920449507,0.4038505850196981,0.005190919733907025,0.2556568001983713,0.020266732364734828
BrownieSundown,0.15477771171511562,0.009773989475231016,0.04905071462386055,0.0038942851397756892,0.07277873326230574,0.011274359143164938
 ,0.20582263455858565,0.011202939181063151,0.07512492271673046,0.004367698005849173,0.08527539920670736,0.013929675295013757
artificialgreeting,0.12665120221065107,0.007466903443710572,0.03520420250177264,0.0036313921055046313,0.0410495605109741,0.012371331263140549
untide,0.5076203457534053,0.0373311735458217,0.3751995628500035,0.0066995391604625,0.27225622069011807,0.02150467152878801
 ,0.09814765198717995,0.007483360379175844,0.03761372417394492,0.0034513200475236273,0.046948667001250256,0.015885922738998384
untide,0.09226736456955911,0.006662326925152924,0.0360186670084036,0.0033714821663904026,0.04197603445792173,0.01243831830173843
im_not_a_writer,0.09082409238802545,0.0066097263298689505,0.040627931143471775,0.003251614945607728,0.03700538787435112,0.010046647808150797
 ,0.11730991676240757,0.008195653429388303,0.05131593739886412,0.003800902598673593,0.05009297359724836,0.010338843063685136
The_GASK,0.14082053267268885,0.009859434187765137,0.04686543332456441,0.004140244191533334,0.04708005658643383,0.012889818293134448
DamonHarp,0.06053878626107204,0.006631467438042271,0.02939883718292289,0.00324485861811238,0.026351743881215906,0.009041036701827711
 ,0.18568943192636075,0.009877194150207805,0.06278891752269028,0.00433812518239689,0.07488382959299501,0.012981755016296993
lolwutka,0.10323627875471852,0.008865239052607856,0.04006868854715399,0.003650674114179318,0.041633623580344545,0.010311157071085684
manys,0.11355990588402454,0.0055249044311255924,0.04033122598343507,0.0032294034647463625,0.033908090748492555,0.009072013559626599
KA1N3R,0.1504830938981509,0.010340503097408403,0.054234657238687395,0.0037908545881318923,0.07319636289846272,0.011793018539391282
Yellow-5-Son,0.0899459837943166,0.006213519960060398,0.038355008592700586,0.0031483469343051005,0.04019592333239895,0.007726200610499073
KA1N3R,0.0742325079971796,0.007132246626257816,0.03797445155484585,0.0030908273727978685,0.03576066413497358,0.007942014695040845
Yellow-5-Son,0.11215976624468428,0.005699936177283462,0.0375256300041902,0.0030461309749405785,0.03425844897852276,0.009057205727778328
KA1N3R,0.29374918183305454,0.006658904415295625,0.08495525570766049,0.0034140002270416437,0.06954826548137664,0.010573679747370746
Yellow-5-Son,0.2606767985868468,0.0071327539958096495,0.0626182069050163,0.0036113389494115385,0.0891306857243164,0.01758550063691744
KA1N3R,0.11695165409012362,0.009306095521392851,0.05452466540425464,0.003760667971491116,0.05314904659217763,0.010776329977792907
