id,toxic,severe_toxic,obscene,threat,insult,identity_hate
AutoModerator,0.050788184958038135,0.005110202522669177,0.020474260847222127,0.002871325912597254,0.021315657676120977,0.006123245830849886
Fiending4Krokodil,0.04657207707399867,0.0055656782136480985,0.02173741001150597,0.0029518415185538797,0.019980183166383995,0.0073190866730693015
Spiel_Foss,0.06121217773828128,0.0058773982034315934,0.026579365381165558,0.0034327683273903454,0.027313321966967268,0.007801962731586081
DaGoz,0.06706463458785747,0.007551073998716766,0.030280735634859567,0.0038422304636958767,0.02894818547859411,0.009143992791410694
joyRN,0.11021418697377425,0.009615789361753252,0.047957763099637105,0.003745045636973349,0.04828048413274587,0.010841487599871504
LiberalConservative3,0.06770736023808335,0.007071241571787239,0.030595510354179574,0.0032914820324422395,0.03494959880422264,0.008983411728569854
BawsDaddy,0.0727681098431821,0.006529887949954247,0.0319634071761086,0.003359979869784861,0.02817283293949026,0.007668849399428153
spacehogg,0.06457063100644485,0.006240357481886324,0.025633733724294522,0.0031178202804362583,0.0263579850957466,0.00816092551815752
 ,0.09484387831039938,0.009371269406348222,0.039194860064915654,0.003641578234005288,0.044934752218097465,0.008957515285213335
BawsDaddy,0.04470751499434555,0.0050378471671006855,0.02143033073114156,0.0030712577445782692,0.02063934713498946,0.0070321673855559
DisagreeableFool,0.07408888950491178,0.006143387911517939,0.025275158956967286,0.0032029608764823805,0.029745928215409754,0.007713292428906068
BawsDaddy,0.05111373828984299,0.005538931977921185,0.024425034997281967,0.0029800070802127147,0.025891990410105675,0.007223636482134401
DisagreeableFool,0.06244356971144955,0.005527567189317127,0.023748967079688273,0.0029882579270137924,0.02754487549236723,0.006692085045051037
neuhmz,0.11056831279434216,0.008509577013445008,0.040021144170374126,0.003506354523429991,0.049120194379588006,0.009790097212313593
BawsDaddy,0.1263978475875978,0.010801575469088052,0.046938470462611015,0.0038762564689671327,0.04926528120074538,0.011118138744494563
neuhmz,0.10733253638531652,0.007780132898188782,0.039406268729050294,0.0034817649119837073,0.04467636859719142,0.009036188293637013
BawsDaddy,0.20217598520879623,0.008864426801104741,0.06200732389098024,0.003785974798771396,0.07285030398543822,0.010729873887835034
