id,toxic,severe_toxic,obscene,threat,insult,identity_hate
AFGNCAAP_Paradigm,0.10397990440092891,0.008046379867334712,0.03937557221280577,0.005833575844764466,0.039822096267348395,0.01043023938814795
Sarugan,0.09581690538486405,0.008212206429455809,0.04148439105112465,0.0032683662621992063,0.03794073784264102,0.008928619839404189
grandpasplace,0.058556031965470295,0.0064809617116395974,0.030131546543239345,0.003102065776100331,0.026054710236979313,0.007576793813343886
AngelaBerserkel,0.04589918552055472,0.008267008895351103,0.02826510004982769,0.0033621167055429557,0.030805466194537546,0.008464333567335666
Emperor_Aurelian,0.1161428585875226,0.007581713235350915,0.045873134805971376,0.003810660046749019,0.041814301659425505,0.01049055404848893
qi1,0.05606931233418508,0.0040620615406297,0.023588550778711578,0.002775457793734933,0.019563655389877675,0.0060323002257900455
AFGNCAAP_Paradigm,0.10172358315890452,0.007666400501849367,0.04348258686682148,0.0034656453125271906,0.041188705415439515,0.008973635596507568
qi1,0.09588856588255107,0.007920490529178896,0.04980928772327446,0.0032543455455603626,0.04118601865939241,0.009080276144823303
AFGNCAAP_Paradigm,0.08252925894275404,0.008257277378356338,0.04248712053147278,0.0034189713690823834,0.04166305799226089,0.009864717331627972
qi1,0.06395717012373196,0.0058580949317255035,0.028114286457681662,0.0030696539207884397,0.026049303651052173,0.007925896865815407
AFGNCAAP_Paradigm,0.07159034780888646,0.0069880623694285075,0.033248930238358516,0.0032431132742772473,0.03616566491214726,0.00865403353263672
multiple4,0.21741949021007237,0.010194740555523803,0.08347029320700923,0.005469743590343025,0.059112145332810576,0.01072500411444679
AFGNCAAP_Paradigm,0.058191008214097124,0.006775931413497229,0.02860796066253906,0.003724709009891548,0.029340658555915163,0.008008965936487178
multiple4,0.16874985167101264,0.008316485288418314,0.05408960759848137,0.009532552045406456,0.05112001384778807,0.010698821339255267
AFGNCAAP_Paradigm,0.09727129980556744,0.006149789561549965,0.036271633825792036,0.005957498242537696,0.03322328087041254,0.007899929542365828
DLTMIAR,0.1287156871287604,0.011785956532525553,0.06172290324852385,0.0036238264544649146,0.054363519494688504,0.010288439502771635
Lil-Lanata,0.08296707978209404,0.006528292068960256,0.03561866456170995,0.0032432793783107863,0.04327533183803783,0.008022923680221571
Emperor_Aurelian,0.087688433529801,0.008639242501946615,0.03539097068325613,0.004188466777467515,0.03512644713191629,0.009953100289542991
AFGNCAAP_Paradigm,0.12540351152594348,0.009998931126335816,0.049470590427094695,0.0044370192158028204,0.05569534811224576,0.01062591179049102
Emperor_Aurelian,0.192972890023459,0.00782855093906559,0.0630823360296613,0.003829430223407258,0.06498356918180248,0.01077327733440788
AFGNCAAP_Paradigm,0.13011590668408987,0.008554296719789679,0.04595813807489906,0.003735432431971985,0.052104664870402696,0.012221402762029597
Emperor_Aurelian,0.10341232759483535,0.007035892994748914,0.037667349472451254,0.003961702996495245,0.03823665448930965,0.008998567871306914
AFGNCAAP_Paradigm,0.11430930747624896,0.00902583824288285,0.03977153410497268,0.004253059513216503,0.042346281773156025,0.010906914387559799
Emperor_Aurelian,0.18978453339910067,0.009143077471048044,0.06928677130657383,0.004020873776752856,0.0633994135919887,0.012569551345761262
AFGNCAAP_Paradigm,0.13619727228897172,0.0061691340850587575,0.049232806486841134,0.0034066681928174255,0.03919111359137719,0.008291105132340739
Nintendroid,0.09170142836278763,0.010648770285807742,0.04384896220253458,0.0038435394570717984,0.042289586827049815,0.010440797279172976
KommandCBZhi,0.04247809212208867,0.007312662455905076,0.026360927219306895,0.0032018920295361912,0.02498864936925972,0.008350382566675647
CyanManta,0.0917966413688649,0.005776631128541032,0.03853737632463584,0.0032022842488547,0.03404488147198852,0.007527102837828068
FuglytheBear,0.12402869253880468,0.0059283017350365615,0.043831800159404376,0.0031336386113847807,0.03817312568965154,0.007506903452626101
Lady_Lyanna,0.06911171445438657,0.007115572098298314,0.03951845737804686,0.0034581504080046475,0.03247511348660596,0.00878068383042853
qi1,0.3189689368586964,0.009413804416609042,0.08351408359818295,0.004664837198035122,0.09615989743958395,0.012414988234942725
Kroovistos,0.07219875125630174,0.005507021501073167,0.030898503734382823,0.00321878649862718,0.030287367219477394,0.008134610280570134
untakenu,0.0702297754683428,0.008460272139369264,0.0343228957876223,0.0034869975563175154,0.030958283716319444,0.009823942380502312
Kroovistos,0.04613448815050354,0.006263580065820797,0.02496817424975365,0.0030284115858545783,0.022316373737444942,0.00732111465270546
Emperor_Aurelian,0.17553715665591466,0.008180189586280945,0.056659743487857364,0.004075978056860781,0.061572487469156646,0.010983582306429839
Kroovistos,0.04611691996830467,0.004433470022746035,0.02037762801012367,0.00274641375057951,0.01789978786027181,0.006132818284922225
qi1,0.06964044563620105,0.00661503627094855,0.028675376285408734,0.003486561815012514,0.031095659861739896,0.007470404124724334
twilightsentinel,0.20011906980194386,0.008954306473189847,0.06770979163446443,0.004162770123343329,0.08804165205678847,0.01084180173921264
DLTMIAR,0.20173752660031669,0.010879508006232613,0.06894139171926891,0.005213664670716772,0.07272648723147891,0.01202032087268334
ComicBookFanatic97,0.11408725150815244,0.009771980212722185,0.05245275928075402,0.0036234292435171453,0.04800405362695685,0.010085795277583472
qi1,0.14159851694157172,0.009667632865191499,0.04568155107727063,0.0035240207839064134,0.05468637375907948,0.00959400686013947
ComicBookFanatic97,0.13389758050812214,0.005833684731733979,0.03801354378277236,0.00305741917619688,0.04434064539483697,0.0073887850551372335
qi1,0.14017847213651843,0.007501321787399335,0.04013891007640998,0.0034352910804690273,0.04889474304281175,0.009106732805736874
ComicBookFanatic97,0.07785912269795525,0.006043567919576587,0.03241798797577631,0.004984275432613528,0.026510352454748837,0.007491216010551108
qi1,0.15936969975751822,0.010114707563100364,0.05879601920573867,0.003991542108393369,0.07100408562286319,0.012092519140596582
ComicBookFanatic97,0.03019759946503411,0.005028311373921132,0.016221972882275296,0.0027466244584361116,0.015900374046934142,0.006229875847803329
qi1,0.09332956437516982,0.0060808226598647415,0.03008320724155875,0.0037074910555460684,0.03672909614972793,0.008399970745741782
ComicBookFanatic97,0.06276875553153205,0.005589690883624865,0.02911028985241472,0.0031244565913028936,0.02517710588090659,0.0073620860737976706
qi1,0.07231034276235503,0.006678053329420325,0.030315229042584085,0.0031889181399186103,0.03205930793471821,0.008596337072201725
Dogenewnew,0.09016797480733292,0.011185990746047113,0.0465231071759178,0.004035837057063968,0.04961181908212071,0.011049824624887393
 ,0.07310067028616557,0.0047029329118157305,0.03327444038077265,0.0030256271432848843,0.026495138409148893,0.0066264503000119145
maarhoe,0.1184303016621458,0.006893561293143076,0.04628287550162516,0.004128846434801682,0.04635429356016086,0.009585569211947942
PaperCutRugBurn,0.09140220978692913,0.006230456286002715,0.03819699181971633,0.003186498570912808,0.03132710305231033,0.0077263381564085555
